Atributo,Llenos,Vacíos,Únicos,Porcentaje Lleno (%)
descrip1art,15955,0,15505,100.0
codbarras,15955,0,15955,100.0
cantidad_presentacion,15955,0,59,100.0
clasificacion_insumo_Des,15955,0,10,100.0
segmento_etario,15955,0,7,100.0
es_medicamento,15955,0,2,100.0
origen_dato,15955,0,1,100.0
cantidad_presentacion_Des,15955,0,774,100.0
LastUpdated,15426,529,2234,96.68
marca_Des,12410,3545,4680,77.78
forma_farmaceutica_Des,11816,4139,273,74.06
principio_activo_Des,9684,6271,2384,60.7
forma_farmaceutica,9381,6574,154,58.8
concentracion_Des,8946,7009,1843,56.07
principio_activo,7299,8656,729,45.75
contenido_neto_Des,6483,9472,975,40.63
fabricante_Des,3675,12280,620,23.03
blister_Des,3576,12379,2,22.41
generico_Des,3310,12645,2,20.75
requiere_recipe_Des,3309,12646,2,20.74
concentracion,3290,12665,422,20.62
status,2828,13127,2,17.72
codigo_atc_Des,2034,13921,467,12.75
segmento_etario_Des,1797,14158,92,11.26
contenido_neto,1713,14242,163,10.74
requiere_recipe,1686,14269,2,10.57
fabricante,1578,14377,318,9.89
codigo_atc,1254,14701,400,7.86
timestamp1,1204,14751,583,7.55
status2,1204,14751,1,7.55
usuario,1204,14751,6,7.55
origen_Des,1177,14778,82,7.38
origen,658,15297,22,4.12
PA_Alter_FF,513,15442,88,3.22
PA_Alter_CON,458,15497,164,2.87
url_imagen,397,15558,207,2.49
indicaciones,118,15837,74,0.74
contraindicaciones,59,15896,48,0.37
marca,20,15935,14,0.13
elasticidad_demanda,9,15946,2,0.06
blister_Score,9,15946,1,0.06
blister,9,15946,2,0.06
generico,9,15946,2,0.06
cantidad_presentacion_Score,9,15946,1,0.06
elasticidad_demanda_Des,9,15946,2,0.06
origen_Score,9,15946,2,0.06
fabricante_Score,9,15946,3,0.06
generico_Score,9,15946,1,0.06
marca_Score,9,15946,1,0.06
concentracion_Score,0,15955,0,0.0
forma_farmaceutica_Score,0,15955,0,0.0
timestamp2,0,15955,0,0.0
usuario_root,0,15955,0,0.0
principio_activo_Score,0,15955,0,0.0
Score_Final,0,15955,0,0.0
patrocinador_Score,0,15955,0,0.0
almacenamiento,0,15955,0,0.0
patrocinador,0,15955,0,0.0
patrocinador_Des,0,15955,0,0.0
contenido_neto_Score,0,15955,0,0.0
requiere_recipe_Score,0,15955,0,0.0
codigo_atc_Score,0,15955,0,0.0
es_medicamento_Score,0,15955,0,0.0
segmento_etario_Score,0,15955,0,0.0
